# SB.API_SB - Archivo semilla del mantenimiento de Entidades Gubernamentales
# Fuente: ListaEntidadesGubernamentales.xlsx (listado oficial entregado con la prueba tecnica)
# Campos: Nombre|Categoria|PoderDelEstado|Sector
# Este archivo es la fuente de verdad legible. Al iniciar la API por primera vez se
# genera GovernmentEntities.txt con identificadores, estado y datos de auditoria.
Oficina Nacional de la Propiedad Industrial|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Industria, Comercio y MIPYMES
Organismo Dominicano de Acreditación|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Industria, Comercio y MIPYMES
Parque Zoológico Nacional Arq. Manuel Valverde Podesta|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Medio Ambiente y Recursos Naturales
Programa de Medicamentos Esenciales/Central de Apoyo Logístico|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Salud
Servicio Geológico Nacional|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Energía y Minas
Servicio Nacional de Salud|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Sistema Único de Beneficiarios|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Social
Superintendencia de Salud y Riesgos Laborales|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Trabajo
Superintendencia de Seguros|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Hacienda
Superintendencia del Mercado de Valores|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Hacienda
Tesorería de la Seguridad Social|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Trabajo
Tesorería Nacional|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Hacienda
Unidad de Análisis Financiero|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Hacienda
Unidad Ejecutora para la Readecuación de Barrios y Entornos|Unidad Ejecutora (Proyecto)|Poder Ejecutivo|Presidencia
Unidad Técnica Ejecutora de Titulación de Terrenos del Estado|Unidad Ejecutora (Proyecto)|Poder Ejecutivo|Presidencia
Universidad Autónoma de Santo Domingo|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Educación Superior, Ciencia y Tecnología
Universidad Tecnológica del Cibao Oriental|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Educación Superior, Ciencia y Tecnología
